
   t+  0.0min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 80.6%)
   t+ 11.9min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 61.2%)
   t+ 23.7min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 41.8%)
   t+ 35.6min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 22.3%)

AT-13 [4seat] — 4 legs, 175.1 km, 16 pax carried
   t+  0.0min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 73.2%)
   t+ 14.5min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 53.8%)
   t+ 30.2min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 34.4%)
   t+ 42.1min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 15.0%)
   charge stops: [(1, 1.3)]

AT-14 [4seat] — 4 legs, 202.8 km, 16 pax carried
   t+  0.0min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 73.2%)
   t+ 14.4min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 46.5%)
   t+ 28.9min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 41.8%)
   t+ 47.3min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 15.0%)
   charge stops: [(2, 4.0)]

AT-15 [4seat] — 4 legs, 202.8 km, 16 pax carried
   t+  0.0min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 73.2%)
   t+ 14.4min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 46.5%)
   t+ 28.9min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 41.8%)
   t+ 47.3min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 15.0%)
   charge stops: [(2, 4.0)]

AT-16 [4seat] — 4 legs, 147.1 km, 16 pax carried
   t+  0.0min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 80.6%)
   t+ 11.9min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 61.2%)
   t+ 23.7min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 41.8%)
   t+ 35.6min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 22.3%)

AT-17 [4seat] — 4 legs, 202.8 km, 16 pax carried
   t+  0.0min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 73.2%)
   t+ 14.4min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 46.5%)
   t+ 28.9min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 41.8%)
   t+ 47.3min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 15.0%)
   charge stops: [(2, 4.0)]

AT-18 [4seat] — 3 legs, 138.2 km, 12 pax carried
   t+  0.0min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 80.6%)
   t+ 11.9min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 53.8%)
   t+ 26.3min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 27.0%)

AT-19 [4seat] — 2 legs, 129.5 km, 8 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)
   t+ 22.3min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 31.6%)

AT-20 [4seat] — 2 legs, 143.4 km, 8 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)
   t+ 22.3min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 24.3%)

AT-21 [4seat] — 2 legs, 143.4 km, 8 pax carried
   t+  0.0min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 73.2%)
   t+ 14.4min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 24.3%)

AT-22 [4seat] — 2 legs, 129.5 km, 8 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)
   t+ 22.3min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 31.6%)

AT-23 [4seat] — 2 legs, 129.5 km, 8 pax carried
   t+  0.0min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 80.6%)
   t+ 11.9min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 31.6%)

AT-24 [4seat] — 2 legs, 129.5 km, 8 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)
   t+ 22.3min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 31.6%)

AT-25 [4seat] — 2 legs, 143.4 km, 8 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)
   t+ 22.3min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 24.3%)

AT-26 [4seat] — 2 legs, 143.4 km, 8 pax carried
   t+  0.0min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 73.2%)
   t+ 14.4min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 24.3%)

AT-27 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-28 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-29 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-30 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-31 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-32 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-33 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-34 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-35 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-36 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-37 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-38 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-39 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-40 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-41 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-42 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-43 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-44 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-45 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   KRJ -> QZV  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-46 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-47 [4seat] — 1 legs, 92.7 km, 4 pax carried
   t+  0.0min   QZV -> KRJ  ( 92.7 km, 4 pax, SoC after: 51.0%)

AT-48 [4seat] — 1 legs, 38.8 km, 4 pax carried
   t+  0.0min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 79.5%)
