
   end-of-cycle top-up (resets SoC for the repeat): [(6, 15.3)]

AT-12 [4seat] — 6 legs, 241.8 km, 20 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 92.6%)
   t+  7.6min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 73.2%)
   t+ 19.5min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 46.4%)
   t+ 33.9min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 41.8%)
   t+ 52.4min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 15.0%)
   t+ 66.8min   IKA -> CHT  ( 38.8 km, 0 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(3, 4.0), (5, 3.7)]

AT-13 [4seat] — 4 legs, 202.8 km, 16 pax carried  [closed-loop, repeats indefinitely]
   t+  0.0min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 73.2%)
   t+ 14.4min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 46.5%)
   t+ 28.9min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 41.8%)
   t+ 47.3min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(2, 4.0)]
   end-of-cycle top-up (resets SoC for the repeat): [(4, 15.3)]

AT-14 [4seat] — 4 legs, 202.8 km, 16 pax carried  [closed-loop, repeats indefinitely]
   t+  0.0min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 73.2%)
   t+ 14.4min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 46.5%)
   t+ 28.9min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 41.8%)
   t+ 47.3min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(2, 4.0)]
   end-of-cycle top-up (resets SoC for the repeat): [(4, 15.3)]

AT-15 [4seat] — 4 legs, 147.1 km, 16 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 80.6%)
   t+ 11.9min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 61.2%)
   t+ 23.7min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 41.8%)
   t+ 35.6min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 22.3%)

AT-16 [4seat] — 4 legs, 147.1 km, 16 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 80.6%)
   t+ 11.9min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 61.2%)
   t+ 23.7min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 41.8%)
   t+ 35.6min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 22.3%)

AT-17 [4seat] — 4 legs, 147.1 km, 16 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 80.6%)
   t+ 11.9min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 61.2%)
   t+ 23.7min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 41.8%)
   t+ 35.6min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 22.3%)

AT-18 [4seat] — 4 legs, 147.1 km, 16 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 80.6%)
   t+ 11.9min   KRJ -> THR  ( 36.8 km, 4 pax, SoC after: 61.2%)
   t+ 23.7min   THR -> KRJ  ( 36.8 km, 4 pax, SoC after: 41.8%)
